"date","tests_rate","tests_rate_lower","tests_rate_upper","tests_rate_daily","tests_rate_daily_lower","tests_rate_daily_upper","cases_rate","cases_rate_lower","cases_rate_upper","cases_rate_daily","cases_rate_daily_lower","cases_rate_daily_upper","mort","icu","hosp","cases","cases_week_avg","positives","tests","people_vaccinated","people_fully_vaccinated","total_vaccinations","total_distributed"
2022-01-16,0.325933687598234,0.322386048948432,0.329496295187486,0.217067108533554,0.193869096934548,0.24026512013256,0.30276379964388,0.299218084694589,0.306309514593172,0.184641932700604,0.16220880069025,0.207075064710958,31,169,842,214,2793.42857142857,262,1207,2888769,2487400,6133897,6869670
2022-01-17,0.304632493255248,0.300980456669079,0.308300980456669,0.2285873813512,0.219877163595757,0.237297599106644,0.280620841062646,0.276995864463316,0.284262836331456,0.19730420636765,0.188937950267255,0.20578666046944,23,155,830,1698,2355.57142857143,2047,8955,2888769,2487400,6133897,6869670
2022-01-18,0.292413649892711,0.288710458918807,0.296134145497335,0.299346664026925,0.290437537121362,0.308255790932489,0.266665471045033,0.263006868846285,0.270342007568285,0.262785126549318,0.254036037912717,0.271638371003021,23,154,815,2523,2124.14285714286,3024,10102,2895390,2490722,6163212,6869870
2022-01-19,0.281039692986522,0.277257642892898,0.284840282541389,0.280136236467583,0.270405060211653,0.289867412723513,0.25275064069214,0.249012467001946,0.256488814382334,0.240600538945207,0.231104837674836,0.250096240215578,26,165,798,1875,1873.85714285714,2303,8221,2901900,2494149,6168027,6884770
2022-01-20,0.271034659213919,0.26717707492767,0.274911925052648,0.274917400881057,0.264730176211454,0.285242290748899,0.240962373965079,0.237171079596688,0.24475366833347,0.240190421234853,0.230236583958454,0.250288517022504,19,136,786,1665,1679.71428571429,1997,7264,2919477,2507498,6237152,6912870
2022-01-21,0.263666347483775,0.259687200766039,0.267645494201511,0.213863773357444,0.205063291139241,0.222664255575648,0.231090569727135,0.227202026486535,0.235001333214825,0.176745360434289,0.168413079156672,0.18520388839793,32,128,744,1400,1485.71428571429,1774,8295,2923244,2510153,6258516,6938670
2022-01-22,0.258641961947228,0.254659191757397,0.262646377627221,0.218232819074334,0.20476858345021,0.231977559607293,0.225778742257787,0.221890682218907,0.229689407296894,0.180294117647059,0.167352941176471,0.193235294117647,25,131,695,613,1426.85714285714,778,3565,2927137,2513019,6281636,6947570
2022-01-23,0.257714273305683,0.253718703176913,0.261709843434453,0.162724692526017,0.140964995269631,0.185430463576159,0.224928009432465,0.221028047978596,0.228827970886334,0.141610087293889,0.120271580989331,0.162948593598448,28,122,657,146,1417.14285714286,172,1057,2927350,2513036,6281805,6947570
2022-01-24,0.259427048634244,0.255385298689762,0.263491005996003,0.234164832477378,0.224993886035706,0.243335778919051,0.227143155113676,0.223203318732763,0.231106167002712,0.201351695995919,0.192552920173425,0.210277990308595,24,123,656,1579,1400.14285714286,1915,8178,2927523,2513069,6281805,6947570
2022-01-25,0.239728296885355,0.235657483669412,0.243799110101297,0.200757044721716,0.191504275900743,0.210150007009673,0.208051871209506,0.204107292539816,0.212021103495883,0.169192655202565,0.160303118624308,0.178082191780822,16,116,626,1161,1205.57142857143,1432,7133,2934652,2516871,6321574,6973570
